name_question,category,category2,abstract,contents,source,URL,name_exam,sortA,sortB,sortC,sortD,sortE,year,month,day,lunar_date,ganji_kr_year,ganji_kr_month,ganji_kr_day,ganji_cn_year,ganji_cn_month,ganji_cn_day,is_leap_month
1795년_식년시대과_초시_문제,賦,,蓋麟云,蓋麟云,乙卯式年司馬榜目,https://jsg.aks.ac.kr/dir/view?dataId=JSG_K2-3553,1795년_식년시소과_초장,소과,진사,식년시,초시,초장,1795.0,8.0,19.0,1795-07-05,을묘,갑신,갑인,乙卯,甲申,甲寅,False
1795년_식년시대과_초시_문제,詩,,"思中興股肱之美, 圖_其人於麒麟閣. 押_.","思中興股肱之美, 圖_其人於麒麟閣. 押_.",乙卯式年司馬榜目,https://jsg.aks.ac.kr/dir/view?dataId=JSG_K2-3553,1795년_식년시소과_초장,소과,진사,식년시,초시,초장,1795.0,8.0,19.0,1795-07-05,을묘,갑신,갑인,乙卯,甲申,甲寅,False
1795년_식년시대과_초시_문제,疑,論語疑,,"問: 子曰: “知及之, 仁能守之, 莊而_之, 動之不以禮, 未善也.” 仁者, 本心之全德, 禮者, 天理之節文也, 蓋心之全德, 莫非天理, 天理全於我, 則所謂節文, 宜中間物事也, 豈有仁而不能動民以禮者乎? 聖人之訓, 必有深意. 願聞其說.",乙卯式年司馬榜目,https://jsg.aks.ac.kr/dir/view?dataId=JSG_K2-3553,,,,,,,,,,,,,,,,,
1795년_식년시대과_초시_문제,義,詩義,無感我_兮.,無感我_兮.,乙卯式年司馬榜目,https://jsg.aks.ac.kr/dir/view?dataId=JSG_K2-3553,,,,,,,,,,,,,,,,,
1795년_식년시대과_초시_문제,賦,,乃令士持滿毋發.,乃令士持滿毋發.,乙卯式年司馬榜目,https://jsg.aks.ac.kr/dir/view?dataId=JSG_K2-3553,,,,,,,,,,,,,,,,,
1795년_식년시대과_초시_문제,詩,,"行無部伍, 就善水草舍止. 押舍.","行無部伍, 就善水草舍止. 押舍.",乙卯式年司馬榜目,https://jsg.aks.ac.kr/dir/view?dataId=JSG_K2-3553,,,,,,,,,,,,,,,,,
1795년_식년시대과_초시_문제,疑,論語疑,,"問: 子曰: “君子欲訥於言.” 又曰: “余欲無言.” 然則君子之言, 但當欲訥欲無, 而孟子則曰: “余知言.” 知言之訓, 果不逕庭於欲訥欲無之義歟? 前聖後聖, 其揆一也, 而言各不同, 何歟? 願聞其說.",乙卯式年司馬榜目,https://jsg.aks.ac.kr/dir/view?dataId=JSG_K2-3553,,,,,,,,,,,,,,,,,
1795년_식년시대과_초시_문제,義,禮義,"樂者, 天地之和也.","樂者, 天地之和也.",乙卯式年司馬榜目,https://jsg.aks.ac.kr/dir/view?dataId=JSG_K2-3553,,,,,,,,,,,,,,,,,
1393년_식년시소과_진사_문제,,,,,"국조문과방목(國朝文科榜目), 실록",https://sillok.history.go.kr/id/waa_10205003_001,1393년_식년시소과_진사,소과,진사,식년시,복시,,1393.0,5.0,3.0,1393-03-14,계유,병진,기미,癸酉,丙辰,己未,False
1393년_식년시소과_생원_문제,,,,,실록,https://sillok.history.go.kr/id/kaa_10206024_001,1393년_식년시소과_생원,소과,생원,식년시,복시,,1393.0,6.0,24.0,1393-05-07,계유,무오,신해,癸酉,戊午,辛亥,False
1396년_식년시소과_생원_문제,,,,,"국조문과방목(國朝文科榜目), 실록",https://sillok.history.go.kr/id/waa_10506001_001,1396년_식년시소과_생원,소과,생원,식년시,복시,,1396.0,6.0,1.0,1396-04-17,병자,계사,갑진,丙子,癸巳,甲辰,False
1399년_식년시소과_생원_문제,,,,,실록,https://sillok.history.go.kr/id/kba_10105001_002,1399년_식년시소과_생원,소과,생원,식년시,복시,,1399.0,5.0,1.0,1399-03-17,기묘,무진,무자,己卯,戊辰,戊子,False
1399년_식년시소과_생원_문제,,,,,"방목, 연구서(19면)",,1399년_식년시소과_생원,소과,생원,식년시,복시,,1399.0,0.0,0.0,0000-00-00,갑자,갑자,갑자,甲子,甲子,甲子,False
1399년_식년시소과_진사_문제,,,,,"방목, 연구서(19면)",,1399년_식년시소과_진사,소과,진사,식년시,복시,,1399.0,0.0,0.0,0000-00-00,갑자,갑자,갑자,甲子,甲子,甲子,False
1401년_증광시소과_생원_문제,,,,,"연구서(21면), 실록",https://sillok.history.go.kr/id/kca_10103013_001,1401년_증광시소과_생원,소과,생원,증광시,복시,,1401.0,3.0,13.0,1401-02-20,신사,신묘,기유,辛巳,辛卯,己酉,False
1402년_식년시소과_생원_문제,,,,,"연구서(23면), 실록",https://sillok.history.go.kr/id/kca_10202010_001,1402년_식년시소과_생원,소과,생원,식년시,복시,,1402.0,2.0,10.0,1401-12-29,신사,신축,계미,辛巳,辛丑,癸未,False
1405년_식년시소과_생원_문제,,,,,"연구서(24면), 실록",https://sillok.history.go.kr/id/kca_10503005_001,1405년_식년시소과_생원,소과,생원,식년시, 복시,,1405.0,3.0,5.0,1405-01-25,을유,무인,임술,乙酉,戊寅,壬戌,False
1408년_식년시소과_생원_문제,,,,,"연구서(26면), 실록",https://sillok.history.go.kr/id/kca_10802008_001,1408년_식년시소과_생원,소과,생원,식년시,복시,,1408.0,2.0,8.0,1408-01-03,무자,갑인,임자,戊子,甲寅,壬子,False
1411년_식년시소과_생원_문제,,,,,"연구서(27면), 실록",https://sillok.history.go.kr/id/kca_11103007_001,1411년_식년시소과_생원,소과,생원,식년시,복시,,1411.0,3.0,7.0,1411-02-04,신묘,신묘,을미,辛卯,辛卯,乙未,False
1414년_식년시소과_생원_초시,,,,,실록,https://sillok.history.go.kr/id/kca_11401020_001,1414년_식년시소과_생원_초시,소과,생원,식년시,초시,,1414.0,1.0,20.0,1413-12-20,계사,을축,을축,癸巳,乙丑,乙丑,False
