column,role_guess,quality_score,valid_count,total_count,data_examples
name_question,NAME,1.0,3347,3348,1795년_식년시대과_초시_문제; 1795년_식년시대과_초시_문제; 1795년_식년시대과_초시_문제
category,OTHER,0.884,2960,3348,賦; 詩; 疑
category2,OTHER,0.185,618,3348,論語疑; 詩義; 論語疑
abstract,TEXT,0.188,629,3348,"蓋麟云; 思中興股肱之美, 圖_其人於麒麟閣. 押_.; 無感我_兮."
contents,TEXT,0.801,2682,3348,"蓋麟云; 思中興股肱之美, 圖_其人於麒麟閣. 押_.; 問: 子曰: “知及之, 仁能守之, 莊而_之, 動之不以禮, 未善也.” 仁者, 本心之全德, 禮者, 天理之節文也, 蓋心之全德, 莫非天理, 天理全於我, 則所謂節文, 宜中間物事也, 豈有仁而不能動民以禮者乎? 聖人之訓, 必有深意. 願聞其說."
source,OTHER,0.979,3277,3348,乙卯式年司馬榜目; 乙卯式年司馬榜目; 乙卯式年司馬榜目
URL,URL,0.097,325,3348,https://jsg.aks.ac.kr/dir/view?dataId=JSG_K2-3553; https://jsg.aks.ac.kr/dir/view?dataId=JSG_K2-3553; https://jsg.aks.ac.kr/dir/view?dataId=JSG_K2-3553
name_exam,NAME,0.99,3316,3348,1795년_식년시소과_초장; 1795년_식년시소과_초장; 1393년_식년시소과_진사
sortA,CATEGORY,0.99,3315,3348,소과; 소과; 소과
sortB,CATEGORY,0.333,1114,3348,진사; 진사; 진사
sortC,CATEGORY,0.99,3315,3348,식년시; 식년시; 식년시
sortD,CATEGORY,0.91,3048,3348,초시; 초시; 복시
sortE,CATEGORY,0.673,2252,3348,초장; 초장; 초장
year,DATE,0.994,3328,3348,1795.0; 1795.0; 1393.0
month,DATE,0.994,3328,3348,8.0; 8.0; 5.0
day,DATE,0.994,3328,3348,19.0; 19.0; 3.0
lunar_date,TEMPORAL,0.994,3328,3348,1795-07-05; 1795-07-05; 1393-03-14
ganji_kr_year,TEMPORAL,0.994,3328,3348,을묘; 을묘; 계유
ganji_kr_month,TEMPORAL,0.994,3328,3348,갑신; 갑신; 병진
ganji_kr_day,TEMPORAL,0.994,3328,3348,갑인; 갑인; 기미
ganji_cn_year,TEMPORAL,0.994,3328,3348,乙卯; 乙卯; 癸酉
ganji_cn_month,TEMPORAL,0.994,3328,3348,甲申; 甲申; 丙辰
ganji_cn_day,TEMPORAL,0.994,3328,3348,甲寅; 甲寅; 己未
is_leap_month,OTHER,0.994,3328,3348,False; False; False
