model,model_full,model_type,task,accuracy,f1,primary_metric,char_f1,rougeL_f1,bleu
Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,opensource,classification,0.2,0.3333333333333333,0.2,,,
Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,opensource,retrieval,0.4,,0.4,,,
Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,opensource,punctuation,,,0.9221626954135542,0.9221626954135542,0.0,
Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,opensource,nli,0.0,0.0,0.0,,,
Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,opensource,translation,,,0.16185365754386244,,0.1,0.16185365754386244
Claude-3.5-Sonnet,claude-3-5-sonnet-20241022,api,classification,0.1,0.18181818181818182,0.1,,,
Claude-3.5-Sonnet,claude-3-5-sonnet-20241022,api,retrieval,0.9,,0.9,,,
Claude-3.5-Sonnet,claude-3-5-sonnet-20241022,api,punctuation,,,0.3865900156157197,0.3865900156157197,0.0,
Claude-3.5-Sonnet,claude-3-5-sonnet-20241022,api,nli,0.0,0.0,0.0,,,
Claude-3.5-Sonnet,claude-3-5-sonnet-20241022,api,translation,,,0.14244174330597167,,0.0,0.14244174330597167
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,opensource,classification,0.0,0.0,0.0,,,
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,opensource,retrieval,1.0,,1.0,,,
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,opensource,punctuation,,,0.8690798785409684,0.8690798785409684,0.0,
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,opensource,nli,0.0,0.0,0.0,,,
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,opensource,translation,,,0.10205110867705705,,0.1,0.10205110867705705
gpt-4,gpt-4,api,classification,0.0,0.0,0.0,,,
gpt-4,gpt-4,api,retrieval,1.0,,1.0,,,
gpt-4,gpt-4,api,punctuation,,,0.9097340124504811,0.9097340124504811,0.0,
gpt-4,gpt-4,api,nli,0.5,0.5,0.5,,,
gpt-4,gpt-4,api,translation,,,0.3678542362006103,,0.0,0.3678542362006103
GPT-3.5-Turbo,gpt-3.5-turbo,api,classification,0.0,0.0,0.0,,,
GPT-3.5-Turbo,gpt-3.5-turbo,api,retrieval,0.8,,0.8,,,
GPT-3.5-Turbo,gpt-3.5-turbo,api,punctuation,,,0.9728219015877855,0.9728219015877855,0.0,
GPT-3.5-Turbo,gpt-3.5-turbo,api,nli,0.7,0.7095238095238094,0.7,,,
GPT-3.5-Turbo,gpt-3.5-turbo,api,translation,,,0.22727101848300482,,0.0,0.22727101848300482
GPT-4-Turbo,gpt-4-turbo,api,classification,0.0,0.0,0.0,,,
GPT-4-Turbo,gpt-4-turbo,api,retrieval,0.9,,0.9,,,
GPT-4-Turbo,gpt-4-turbo,api,punctuation,,,0.8084313498113864,0.8084313498113864,0.0,
GPT-4-Turbo,gpt-4-turbo,api,nli,0.6,0.6028571428571429,0.6,,,
GPT-4-Turbo,gpt-4-turbo,api,translation,,,0.2743683580336159,,0.0,0.2743683580336159
EXAONE-3.0-7.8B,LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,opensource,classification,0.0,0.0,0.0,,,
EXAONE-3.0-7.8B,LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,opensource,retrieval,0.9,,0.9,,,
EXAONE-3.0-7.8B,LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,opensource,punctuation,,,0.35812445959762174,0.35812445959762174,0.0,
EXAONE-3.0-7.8B,LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,opensource,nli,0.0,0.0,0.0,,,
EXAONE-3.0-7.8B,LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,opensource,translation,,,0.19532760471575406,,0.0,0.19532760471575406
Claude-3-Opus,claude-3-opus-20240229,api,classification,0.0,0.0,0.0,,,
Claude-3-Opus,claude-3-opus-20240229,api,retrieval,0.9,,0.9,,,
Claude-3-Opus,claude-3-opus-20240229,api,punctuation,,,0.6469243749058387,0.6469243749058387,0.0,
Claude-3-Opus,claude-3-opus-20240229,api,nli,0.3,0.42000000000000004,0.3,,,
Claude-3-Opus,claude-3-opus-20240229,api,translation,,,0.17185495426761874,,0.0,0.17185495426761874
