model,model_type,task,num_samples,primary_metric,accuracy,f1,char_f1,rougeL_f1,bleu
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,opensource,classification,80,0.0,0.0,0.0,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,opensource,nli,185,0.7373761916331986,0.7189189189189189,0.7373761916331986,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,opensource,punctuation,200,0.3558758862972193,,,0.3558758862972193,0.0,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,opensource,retrieval,120,0.6333333333333333,0.6333333333333333,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,opensource,translation,200,0.0685290230488475,,,,0.0685290230488475,0.1444484448891696
Qwen/Qwen2.5-7B-Instruct,opensource,classification,80,0.1321610007639419,0.1125,0.1321610007639419,,,
Qwen/Qwen2.5-7B-Instruct,opensource,nli,185,0.7475640613383858,0.7567567567567568,0.7475640613383858,,,
Qwen/Qwen2.5-7B-Instruct,opensource,punctuation,200,0.5112221309562662,,,0.5112221309562662,0.0,
Qwen/Qwen2.5-7B-Instruct,opensource,retrieval,120,0.5916666666666667,0.5916666666666667,,,,
Qwen/Qwen2.5-7B-Instruct,opensource,translation,200,0.0773134752065174,,,,0.0773134752065174,0.0331362960298027
claude-3-opus-20240229,api,classification,80,0.2556349206349206,0.2875,0.2556349206349206,,,
claude-3-opus-20240229,api,nli,185,0.4809069378657007,0.3621621621621622,0.4809069378657007,,,
claude-3-opus-20240229,api,punctuation,200,0.4729692760540438,,,0.4729692760540438,0.0,
claude-3-opus-20240229,api,retrieval,120,0.8083333333333333,0.8083333333333333,,,,
claude-3-opus-20240229,api,translation,200,0.1261939829857921,,,,0.1261939829857921,0.2500136650853622
claude-sonnet-4-5-20250929,api,classification,80,0.1611742424242424,0.1125,0.1611742424242424,,,
claude-sonnet-4-5-20250929,api,nli,185,0.0107270060758432,0.0054054054054054,0.0107270060758432,,,
claude-sonnet-4-5-20250929,api,punctuation,200,0.4056396923428954,,,0.4056396923428954,0.0,
claude-sonnet-4-5-20250929,api,retrieval,120,0.9166666666666666,0.9166666666666666,,,,
claude-sonnet-4-5-20250929,api,translation,200,0.1378211152743303,,,,0.1378211152743303,0.3287598635957465
gpt-3.5-turbo,api,classification,80,0.1871323529411764,0.2375,0.1871323529411764,,,
gpt-3.5-turbo,api,nli,185,0.6931913731913731,0.7405405405405405,0.6931913731913731,,,
gpt-3.5-turbo,api,punctuation,200,0.9401929335981918,,,0.9401929335981918,0.0,
gpt-3.5-turbo,api,retrieval,120,0.6,0.6,,,,
gpt-3.5-turbo,api,translation,200,0.1302535023335962,,,,0.1302535023335962,0.2531864844392222
gpt-4-turbo,api,classification,80,0.1931848586196412,0.175,0.1931848586196412,,,
gpt-4-turbo,api,nli,185,0.8085062614005674,0.827027027027027,0.8085062614005674,,,
gpt-4-turbo,api,punctuation,200,0.7684041920522128,,,0.7684041920522128,0.0,
gpt-4-turbo,api,retrieval,120,0.7583333333333333,0.7583333333333333,,,,
gpt-4-turbo,api,translation,200,0.1324176365398332,,,,0.1324176365398332,0.3067003163260723
meta-llama/Llama-3.1-8B-Instruct,opensource,classification,80,0.0788624144672531,0.075,0.0788624144672531,,,
meta-llama/Llama-3.1-8B-Instruct,opensource,nli,185,0.6703464887812713,0.7405405405405405,0.6703464887812713,,,
meta-llama/Llama-3.1-8B-Instruct,opensource,punctuation,200,0.8392145712390691,,,0.8392145712390691,0.0,
meta-llama/Llama-3.1-8B-Instruct,opensource,retrieval,120,0.2333333333333333,0.2333333333333333,,,,
meta-llama/Llama-3.1-8B-Instruct,opensource,translation,200,0.0980022675452899,,,,0.0980022675452899,0.1887528812411149
